Tenant_ID,Score,Date
11893,0.1999175,05/21/2022
11894,0.519835365,05/21/2022
11895,0.522813048,05/21/2022
11896,0.80499163,05/21/2022
11897,0.829997618,02/01/2020
11898,0.460005019,05/21/2022
11899,0.129552482,05/21/2022
11900,0.643400603,05/21/2022
11901,0.441995903,05/21/2022
11902,0.216872184,05/21/2022
11903,0.275629182,05/21/2022
11904,0.152853207,05/21/2022
11905,0.618626421,05/21/2022
11906,0.931964065,05/21/2022
11907,0.444647006,03/12/2020
11893,0.170324584,05/21/2022
11894,0.337401623,04/23/2020
11895,0.163262524,05/21/2022
11896,0.463809164,05/21/2022
11897,0.671906813,04/30/2020
11898,0.084668238,05/21/2022
11899,0.461796279,05/21/2022
11900,0.305555745,05/21/2022
11901,0.454928642,05/21/2022
11902,0.835698422,05/21/2022
11903,0.789929621,05/21/2022
11904,0.365951887,05/21/2022
11905,0.801318948,05/21/2022
11906,0.410674024,05/21/2022
11907,0.443422349,05/21/2022
11893,0.211836717,05/21/2022
11894,0.878694899,05/21/2022
11895,0.178084372,05/21/2022
11896,0.378692985,05/21/2022
11897,0.347294885,05/21/2022
11898,0.727903464,05/21/2022
11899,0.843116852,05/21/2022
11900,0.46887913,05/21/2022
11901,0.732973481,05/21/2022
11902,0.605359991,05/21/2022
11903,0.331519223,05/21/2022
11904,0.991274505,05/21/2022
11905,0.545311687,05/21/2022
11906,0.527170804,05/21/2022
11907,0.75218659,05/21/2022
11893,0.006488601,05/21/2022
11894,0.287194319,05/21/2022
11895,0.160445103,05/21/2022
11896,0.441446392,05/21/2022
11897,0.629404896,05/21/2022
11898,0.148336048,05/21/2022
11899,0.253369074,05/21/2022
11900,0.917622974,05/21/2022
11901,0.666269976,05/21/2022
11902,0.911299507,05/21/2022
11903,0.9968129,05/21/2022
11904,0.48569988,05/21/2022
11905,0.488216041,05/21/2022
11906,0.059219872,05/21/2022
11907,0.661511204,05/21/2022
11893,0.924104197,05/21/2022
11894,0.225359619,05/21/2022
11895,0.654126056,05/21/2022
11896,0.427335022,05/21/2022
11897,0.389153082,05/21/2022
11898,0.586053932,05/21/2022
11899,0.341715856,05/21/2022
11900,0.276897177,05/21/2022
11901,0.356474672,05/21/2022
11902,0.029479628,05/21/2022
11903,0.210273057,05/21/2022
11904,0.920699863,05/21/2022
11905,0.585373583,04/15/2020
11906,0.545782965,05/21/2022
11907,0.158249919,05/21/2022
11893,0.190144107,05/21/2022
11894,0.084088062,05/21/2022
11895,0.97055856,05/21/2022
11896,0.518605664,02/11/2020
11897,0.762497133,05/21/2022
11898,0.443353396,05/21/2022
11899,0.717552056,05/21/2022
11900,0.692033797,05/21/2022
11901,0.59249027,05/21/2022
11902,0.47713873,05/21/2022
11903,0.636670223,03/26/2020
11904,0.94021443,05/21/2022
11905,0.250739297,05/21/2022
11906,0.958201495,02/21/2020
11907,0.242205163,03/08/2020
11894,0.164652887,05/21/2022
